n,accuracy_score,time
1,0.756,203.2216534614563
2,0.763,207.47549676895142
3,0.7793333333333333,221.03913807868958
4,0.756,211.44927406311035
5,0.772,211.82386112213135
6,0.775,211.2124879360199
7,0.786,217.60447812080383
8,0.7956666666666666,210.49299716949463
9,0.802,224.3074231147766
10,0.8036666666666666,224.9002285003662
11,0.8056666666666666,223.14155530929565
12,0.8023333333333333,223.8143332004547
13,0.791,227.41388607025146
14,0.8066666666666666,224.36867547035217
15,0.8136666666666666,224.46116542816162
16,0.8176666666666667,209.3706202507019
17,0.81,223.92988991737366
18,0.8113333333333334,226.16530060768127
19,0.8073333333333333,230.62146615982056
20,0.8166666666666667,227.7512903213501
21,0.812,227.52501606941223
22,0.8123333333333334,226.62268781661987
23,0.8213333333333334,227.17009210586548
24,0.8103333333333333,490.3919243812561
25,0.8123333333333334,278.0866770744324
26,0.8156666666666667,550.4691045284271
27,0.824,283.76595759391785
28,0.8176666666666667,295.4855830669403
29,0.8253333333333334,289.10276985168457
30,0.827,281.58419847488403
31,0.8263333333333334,285.0288815498352
32,0.8186666666666667,283.29816460609436
33,0.8213333333333334,289.60862016677856
34,0.826,285.45580315589905
35,0.824,283.0060393810272
36,0.8176666666666667,306.08930492401123
37,0.82,290.9588899612427
38,0.8196666666666667,288.78536200523376
39,0.8186666666666667,289.15786051750183
40,0.823,283.8259108066559
41,0.8253333333333334,286.0515387058258
42,0.827,285.11906456947327
43,0.823,286.74633979797363
44,0.8263333333333334,293.582407951355
45,0.8263333333333334,288.697340965271
46,0.8193333333333334,286.7743935585022
47,0.8213333333333334,287.6910412311554
48,0.821,283.06531620025635
49,0.828,281.15987396240234